Date,Time,Race,Gender,Body_Size,Age_Range,Basket_Size,Wash_Item,Washer_No,Dryer_No,TimeSpent_minutes,TotalSpent_RM,weather,With_Kids,Kids_Category,Race_fac,Gender_fac,Wash_Item_fac,weather_fac,Body_Size_oe,Basket_Size_oe,Kids_Category_oe,With_Kids_oe
19/10/2015,20:17:50,malay,male,moderate,28,big,clothes,3,10,20,9,Rainy,yes,young,0,0,0,0,1,1,3,1
19/10/2015,20:28:42,malay,male,thin,32,big,clothes,6,9,19,21,Sunny,no,no_kids,0,0,0,1,0,1,0,0
19/10/2015,20:58:31,malay,female,moderate,30,big,clothes,4,10,18,13,Sunny,no,no_kids,0,1,0,1,1,1,0,0
19/10/2015,21:31:28,indian,male,thin,51,big,clothes,5,9,13,16,Rainy,no,no_kids,1,0,0,0,0,1,0,0
19/10/2015,21:40:28,indian,male,moderate,34,big,clothes,3,9,15,13,Sunny,no,no_kids,1,0,0,1,1,1,0,0
19/10/2015,23:45:38,malay,male,fat,50,big,clothes,4,8,35,16,Sunny,no,no_kids,0,0,0,1,2,1,0,0
19/10/2015,23:53:38,malay,female,fat,45,big,clothes,5,10,30,17,Rainy,no,no_kids,0,1,0,0,2,1,0,0
20/10/2015,0:24:01,indian,male,thin,49,big,clothes,3,9,46,16,Sunny,no,no_kids,1,0,0,1,0,1,0,0
20/10/2015,0:45:19,indian,male,thin,30,small,clothes,6,10,60,17,Sunny,no,no_kids,1,0,0,1,0,0,0,0
20/10/2015,1:17:50,chinese,female,moderate,33,small,clothes,5,7,23,10,Sunny,no,no_kids,2,1,0,1,1,0,0,0
20/10/2015,3:07:16,malay,female,moderate,45,big,clothes,4,8,56,21,Rainy,no,no_kids,0,1,0,0,1,1,0,0
20/10/2015,7:23:12,malay,male,moderate,37,big,clothes,4,8,36,18,Rainy,no,no_kids,0,0,0,0,1,1,0,0
20/10/2015,7:23:12,malay,female,moderate,39,big,clothes,3,7,15,7,Sunny,no,no_kids,0,1,0,1,1,1,0,0
20/10/2015,9:06:14,malay,male,moderate,32,big,clothes,3,9,15,7,Sunny,no,no_kids,0,0,0,1,1,1,0,0
20/10/2015,10:05:17,malay,female,moderate,55,big,clothes,3,8,23,11,Rainy,yes,young,0,1,0,0,1,1,3,1
20/10/2015,10:41:35,malay,male,thin,33,big,clothes,5,9,39,9,Rainy,no,no_kids,0,0,0,0,0,1,0,0
20/10/2015,10:49:31,malay,female,thin,55,big,clothes,4,7,46,11,Sunny,yes,toddler,0,1,0,1,0,1,2,1
20/10/2015,10:57:47,malay,male,fat,39,big,clothes,5,9,53,14,Sunny,yes,toddler,0,0,0,1,2,1,2,1
20/10/2015,11:13:26,malay,female,fat,55,big,clothes,6,7,48,16,Sunny,yes,young,0,1,0,1,2,1,3,1
